Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
2.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
4.0,Turbo Prop,0.0,0.0,0.0,6.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,3.0,0.0,0.0,0.0
2.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,4.0,0.0,0.0,0.0
2.0,Reciprocating,1.0,0.0,0.0,0.0
2.0,Reciprocating,0.0,0.0,2.0,0.0
2.0,Reciprocating,0.0,1.0,2.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,1.0,3.0,0.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,4.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,1.0,1.0,0.0,0.0
1.0,Reciprocating,2.0,0.0,4.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
3.0,Turbo Fan,2.0,4.0,24.0,182.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
2.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,2.0,0.0,4.0,0.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Turbo Shaft,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,1.0
2.0,Reciprocating,7.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,2.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,4.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Turbo Shaft,0.0,0.0,2.0,2.0
1.0,Turbo Shaft,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,4.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,1.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,1.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Turbo Prop,0.0,5.0,2.0,0.0
1.0,Reciprocating,0.0,1.0,1.0,0.0
1.0,Turbo Shaft,0.0,1.0,0.0,0.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
2.0,Turbo Jet,0.0,0.0,0.0,4.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
2.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
2.0,Turbo Prop,0.0,0.0,6.0,0.0
3.0,Turbo Fan,0.0,1.0,0.0,154.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Turbo Shaft,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Turbo Shaft,0.0,0.0,0.0,1.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,4.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,1.0,1.0,0.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
2.0,Reciprocating,0.0,2.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
0.0,Unknown,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,2.0,0.0
1.0,Reciprocating,8.0,0.0,0.0,0.0
1.0,Reciprocating,8.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,4.0,0.0,0.0
1.0,Reciprocating,4.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,5.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,4.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,2.0,0.0,0.0
2.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,0.0,0.0,5.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,4.0,0.0,0.0
2.0,Reciprocating,0.0,0.0,0.0,4.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,4.0,0.0,0.0,0.0
2.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,4.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,1.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Turbo Shaft,1.0,1.0,0.0,0.0
1.0,Reciprocating,0.0,2.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,4.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,4.0
2.0,Turbo Jet,0.0,0.0,0.0,119.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,1.0,2.0,0.0
1.0,Reciprocating,0.0,0.0,1.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Turbo Prop,8.0,0.0,0.0,0.0
2.0,Turbo Prop,0.0,0.0,0.0,4.0
2.0,Turbo Prop,0.0,0.0,3.0,36.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,2.0,0.0
3.0,Turbo Fan,0.0,1.0,1.0,51.0
2.0,Reciprocating,0.0,0.0,0.0,6.0
2.0,Turbo Prop,0.0,0.0,0.0,16.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,3.0
0.0,Unknown,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,7.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,1.0,1.0,0.0,0.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,2.0,0.0,0.0
1.0,Reciprocating,0.0,4.0,0.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
2.0,Turbo Prop,1.0,10.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,4.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Turbo Prop,0.0,0.0,0.0,4.0
1.0,Reciprocating,0.0,1.0,1.0,0.0
1.0,Turbo Shaft,0.0,0.0,1.0,0.0
1.0,Reciprocating,2.0,0.0,0.0,0.0
2.0,Reciprocating,0.0,0.0,0.0,6.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Turbo Shaft,1.0,0.0,0.0,0.0
2.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,2.0,0.0,0.0
1.0,Reciprocating,0.0,2.0,0.0,0.0
2.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,4.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
2.0,Reciprocating,0.0,0.0,0.0,5.0
2.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
2.0,Turbo Prop,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,1.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
2.0,Reciprocating,0.0,0.0,0.0,3.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
0.0,Unknown,0.0,1.0,1.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,6.0,0.0,0.0,0.0
0.0,Unknown,0.0,0.0,1.0,4.0
1.0,Reciprocating,4.0,0.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
0.0,Unknown,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,1.0
1.0,Reciprocating,0.0,1.0,0.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,1.0,0.0
1.0,Reciprocating,0.0,0.0,0.0,2.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
1.0,Reciprocating,0.0,0.0,0.0,1.0
